Provice,Population
北    京,19612368
天    津,12938693
河    北,71854210
山    西,35712101
内 蒙 古,24706291
辽    宁,43746323
吉    林,27452815
黑 龙 江,38313991
上    海,23019196
江    苏,78660941
浙    江,54426891
安    徽,59500468
福    建,36894217
江    西,44567797
山    东,95792719
河    南,94029939
湖    北,57237727
湖    南,65700762
广    东,104320459
广    西,46023761
海    南,8671485
重    庆,28846170
四    川,80417528
贵    州,34748556
云    南,45966766
西    藏,3002165
陕    西,37327379
甘    肃,25575263
青    海,5626723
宁    夏,6301350
新    疆,21815815
